,exp,num_vars,conlloovia cost,greedy cost,first fit cost,first fit 2 (cores desc) cost,first fit 2 (price asc) cost,conlloovia lower_bound,conlloovia gap_pct,conlloovia status,greedy status,first fit status,first fit 2 (cores desc) status,first fit 2 (price asc) status,conlloovia creation_time,greedy creation_time,first fit creation_time,first fit 2 (cores desc) creation_time,first fit 2 (price asc) creation_time,conlloovia solving_time,greedy solving_time,first fit solving_time,first fit 2 (cores desc) solving_time,first fit 2 (price asc) solving_time,greedy cost diff conlloovia,first fit cost diff conlloovia,first fit 2 (cores desc) cost diff conlloovia,first fit 2 (price asc) cost diff conlloovia
23,23,960,73.0,74.0,80.0,80.0,74.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.0099962698295712,0.007341861724853516,0.09430294763296843,0.0013357093557715416,0.0012548668310046196,0.15886612050235271,0.9254791513085365,1.169482383877039,0.29435797967016697,0.9144655037671328,1.0,7.0,7.0,1.0
24,24,2880,59.0,59.0,64.0,64.0,59.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,3.202756899408996,0.013669019564986229,0.04812703933566809,0.0006636679172515869,0.0013544512912631035,0.537531471811235,2.6433435967192054,4.199759976938367,0.7701745368540287,2.5194395128637552,0.0,5.0,5.0,0.0
25,25,1600,181.0,181.0,184.0,184.0,231.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.2419164665043354,0.010289703495800495,0.23420440591871738,0.000564252957701683,0.002234669402241707,0.20239893533289433,0.790734177455306,1.3106472929939628,0.15377528872340918,2.102531412616372,0.0,3.0,3.0,50.0
26,26,2400,24.0,24.0,32.0,32.0,24.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.4148748042061925,0.004764914512634277,0.10349094681441784,0.0005496153607964516,0.0012460481375455856,0.27666841819882393,0.3184994561597705,1.2308457968756557,0.08054725639522076,0.19745168276131153,0.0,8.0,8.0,0.0
27,27,7200,48.0,48.0,48.0,48.0,48.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,5.589423441328108,0.020547925494611263,0.25727238692343235,0.0006481176242232323,0.0030315909534692764,1.145998027175665,2.035543007776141,5.158230980858207,0.579972573556006,2.0032102335244417,0.0,0.0,0.0,0.0
28,28,9,4.0,4.0,4.0,4.0,4.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.010877751745283604,0.0036754971370100975,0.000568704679608345,0.0028984006494283676,0.0030210232362151146,0.007302426733076572,0.03138559125363827,0.04634580109268427,0.010086370632052422,0.010092549957334995,0.0,0.0,0.0,0.0
29,29,17,16.0,16.0,16.0,16.0,16.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.020742331631481647,0.004744814708828926,0.0011243708431720734,0.0030371742323040962,0.0031043821945786476,0.013014656491577625,0.03148097079247236,0.06594998855143785,0.012616004794836044,0.010362506844103336,0.0,0.0,0.0,0.0
30,30,65,4.0,4.0,4.0,4.0,4.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.03438871167600155,0.0019221864640712738,0.004665452055633068,0.004323952831327915,0.0045618461444973946,0.008930427022278309,0.02497886959463358,0.1539771594107151,0.008468804880976677,0.008402848616242409,0.0,0.0,0.0,0.0
31,31,180,4.0,4.0,4.0,4.0,4.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.21126366592943668,0.0043489970266819,0.006694218143820763,0.002948373556137085,0.0014810841530561447,0.40874453727155924,0.06283304002135992,0.17798737715929747,0.027679597958922386,0.014626451767981052,0.0,0.0,0.0,0.0
32,32,340,8.0,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.3532359628006816,0.004971885122358799,0.007855459116399288,0.00318036787211895,0.0033176736906170845,0.7248285263776779,0.1029690196737647,0.24911206122487783,0.040344404987990856,0.04037331137806177,0.0,0.0,0.0,0.0
33,33,1300,16.0,16.0,16.0,16.0,16.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.3220183113589883,0.0036417553201317787,0.01689306739717722,0.0023263143375515938,0.0023969318717718124,0.45036490820348263,0.07653411664068699,0.841655439697206,0.015638583339750767,0.015668056905269623,0.0,0.0,0.0,0.0
34,34,450,16.0,16.0,16.0,16.0,16.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.5247534969821572,0.0022623641416430473,0.0072005679830908775,0.0014373185113072395,0.001500406302511692,1.219861307181418,0.024399980902671814,0.1272142520174384,0.01141547691076994,0.010801726020872593,0.0,0.0,0.0,0.0
35,35,850,16.0,16.0,16.0,16.0,16.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.011433845385909,0.0069334181025624275,0.018684002570807934,0.0024943985044956207,0.0032455669716000557,0.473546109162271,0.15711987111717463,0.5860936874523759,0.0500818220898509,0.06206817086786032,0.0,0.0,0.0,0.0
36,36,3250,16.0,16.0,16.0,16.0,16.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,3.1489480501040816,0.01644222065806389,0.033988156355917454,0.0023959288373589516,0.005582901649177074,0.7551533151417971,0.08769008331000805,1.666871446184814,0.01834299135953188,0.03860907815396786,0.0,0.0,0.0,0.0
37,37,36,12.0,16.0,16.0,16.0,24.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.04237660299986601,0.004203270189464092,0.0017098812386393547,0.003130512312054634,0.003342428244650364,0.040170518681406975,0.0462143924087286,0.06098010390996933,0.010641142725944519,0.017151913605630398,4.0,4.0,4.0,12.0
38,38,68,8.0,10.0,8.0,8.0,18.5,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.0818931246176362,0.005229382775723934,0.002269853837788105,0.00318318884819746,0.0035781441256403923,0.05423429608345032,0.04458954930305481,0.1392479557543993,0.02171674184501171,0.02074840385466814,2.0,0.0,0.0,10.5
39,39,260,2.0,2.0,2.0,2.0,2.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.31841276958584785,0.005624438636004925,0.0072200726717710495,0.005316803231835365,0.005864819511771202,0.07641035597771406,0.05813801288604736,0.41171604860574007,0.028416123241186142,0.02893491741269827,0.0,0.0,0.0,0.0
40,40,720,12.5,16.0,16.0,16.0,38.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.7626875638961792,0.006022688001394272,0.02613164857029915,0.00298260897397995,0.002808871679008007,0.4504800643771887,0.09016379807144403,0.4324601963162422,0.03688676189631224,0.06562921404838562,3.5,3.5,3.5,25.5
41,41,1360,14.0,14.0,16.0,16.0,14.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.2122289314866066,0.00979758333414793,0.02450124640017748,0.0015409672632813454,0.001697293482720852,0.23441818915307522,0.18008233793079853,0.7420334946364164,0.03451613616198301,0.045137844048440456,0.0,2.0,2.0,0.0
42,42,5200,7.5,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,3.3267899053171277,0.009993921034038067,0.021703210659325123,0.002355300821363926,0.004714954644441605,0.9783212607726455,0.15556065365672112,1.8909153640270233,0.050505226477980614,0.13655268866568804,0.5,0.5,0.5,0.5
43,43,1800,32.0,32.0,32.0,32.0,32.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.684479900635779,0.009135257452726364,0.06370958313345909,0.0031005116179585457,0.0036026081070303917,0.6602738499641418,0.11265894398093224,0.8937700400128961,0.04202221613377333,0.049088639207184315,0.0,0.0,0.0,0.0
44,44,3400,31.0,35.0,32.0,32.0,31.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,3.670663308352232,0.013049116358160973,0.07248689606785774,0.00327860563993454,0.0017104176804423332,2.294662281870842,0.27276035491377115,1.7906822385266423,0.08367426693439484,0.10369464382529259,4.0,1.0,1.0,0.0
45,45,13000,22.0,22.5,24.0,24.0,22.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,11.203099899925292,0.021342736668884754,0.09332245215773582,0.002315782941877842,0.002526218071579933,8.162569364532828,0.5525701940059662,11.102031654678285,0.1349315345287323,0.2540587978437543,0.5,2.0,2.0,0.0
46,46,144,5.0,10.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.1679505379870534,0.018530219793319702,0.0025253407657146454,0.0016695745289325714,0.0024095894768834114,0.36813466250896454,0.02762637287378311,0.0867771040648222,0.010384500958025455,0.010459637269377708,5.0,3.0,3.0,3.0
47,47,272,5.0,8.0,8.0,8.0,10.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.145852230489254,0.018556561321020126,0.002981686033308506,0.0038770362734794617,0.005556498654186726,0.3361708475276828,0.033782487735152245,0.19818306900560856,0.021714163944125175,0.0221238536760211,3.0,3.0,3.0,5.0
48,48,1040,2.5,3.0,4.0,4.0,3.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.8540678406134248,0.004910494200885296,0.0062789833173155785,0.0026027383282780647,0.003403451293706894,0.2522843396291137,0.056469147093594074,0.689614892937243,0.018653891049325466,0.020015932619571686,0.5,1.5,1.5,0.5
49,49,2880,44.0,48.0,48.0,48.0,70.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.493408178910613,0.010104268789291382,0.04498721472918987,0.0017084656283259392,0.0051025208085775375,0.6736709913238883,0.2663822788745165,0.9390111472457647,0.08598835114389658,0.31360271759331226,4.0,4.0,4.0,26.0
50,50,5440,43.0,43.0,48.0,48.0,43.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,3.0877916384488344,0.010826708748936653,0.050472384318709373,0.0017799269407987595,0.002521362155675888,1.1590863587334752,0.45403425488620996,1.743857397697866,0.13983951602131128,0.3489441266283393,0.0,5.0,5.0,0.0
51,51,20800,40.0,44.0,40.0,40.0,40.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,13.012504944577813,0.06423395685851574,0.08288692217320204,0.0038408134132623672,0.003335310146212578,8.79301393777132,0.6878320686519146,13.009013367816806,0.24275304842740297,0.60099883005023,4.0,0.0,0.0,0.0
52,52,7200,84.5,86.0,88.0,88.0,296.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,4.298368372954428,0.019223911687731743,0.14127420727163553,0.001785975880920887,0.0024804938584566116,2.2671238612383604,0.7130889734253287,4.285774242132902,0.21139761060476303,2.3057402903214097,1.5,3.5,3.5,211.5
53,53,13600,94.5,115.0,96.0,96.0,189.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,11.354034193791449,0.022944524884223938,0.15845226775854826,0.004075993783771992,0.004490232095122337,217.57841545622796,0.9382972158491611,7.1036708345636725,0.47652213647961617,3.936183678917587,20.5,1.5,1.5,94.5
54,54,52000,62.5,63.0,64.0,64.0,62.5,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,47.24052010755986,0.19463600032031536,0.26349546015262604,0.004942987114191055,0.007560684345662594,29.488281125202775,1.215729302726686,24.299856644123793,0.5126881944015622,2.0305401999503374,0.5,1.5,1.5,0.0
55,55,33,16.0,16.0,16.0,16.0,16.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.041630398482084274,0.014373982325196266,0.0010696221143007278,0.005903779529035091,0.006699319928884506,0.009836950339376926,0.09035591036081314,0.3156603816896677,0.017133420333266258,0.020713243633508682,0.0,0.0,0.0,0.0
56,56,65,8.0,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.05795163847506046,0.012962019070982933,0.005642971955239773,0.00719858705997467,0.011723657138645649,0.013864644803106785,0.11776355095207691,0.503983118571341,0.019078228622674942,0.03294484969228506,0.0,0.0,0.0,0.0
57,57,257,8.0,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.2580155720934272,0.017595709301531315,0.01911425031721592,0.02097426727414131,0.025147680193185806,0.02700081840157509,0.09704650845378637,1.7644184483215213,0.019650577567517757,0.04071842413395643,0.0,0.0,0.0,0.0
58,58,660,8.0,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,0.4505552500486374,0.016540919430553913,0.009670419618487358,0.013296863064169884,0.00610611867159605,0.26441692281514406,0.12108393851667643,0.4750336231663823,0.04556414857506752,0.031627402640879154,0.0,0.0,0.0,0.0
59,59,1300,8.0,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,1.2209664937108755,0.019708901643753052,0.016558961011469364,0.006410342641174793,0.0065278587862849236,0.5794699210673571,0.15838389564305544,1.6951422756537795,0.034780602902173996,0.035003320313990116,0.0,0.0,0.0,0.0
60,60,5140,8.0,8.0,8.0,8.0,8.0,,0.0,OPTIMAL,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,INTEGER_FEASIBLE,4.478695636615157,0.016341750510036945,0.05147671792656183,0.010740469209849834,0.010869555175304413,0.7297211503610015,0.17755958158522844,3.2224295176565647,0.04132173489779234,0.03859469015151262,0.0,0.0,0.0,0.0
